GameName;GameSettings
AntiKingChess;

Player;Tournament-Seed;Name;TimeSettings
0;3;BasicKI;120000,0
1;0;BasicKI;120000,0

ID;Player;Time (ms);Bonus (ms);Representation;Move;Used time (ms)
0;0;120000;0;2prbkqA/2p1nnbr/2pppppp/8/8/PPPPPP2/RBNN1P2/aQKBRP2 Aa;Pd3-e4;724
1;1;120000;0;2prbkqA/2p1nnbr/2pppppp/8/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Ne7-d5;366
2;0;119276;0;2prbkqA/2p2nbr/2pppppp/3n4/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Re1-e2;712
3;1;119634;0;2prbkqA/2p2nbr/2pppppp/3n4/4P3/PPP1PP2/RBNNRP2/aQKB1P2 Aa;Pc6-b5;648
4;0;118564;0;2prbkqA/2p2nbr/3ppppp/1p1n4/4P3/PPP1PP2/RBNNRP2/aQKB1P2 Aa;Re2-e1;1042
5;1;118986;0;2prbkqA/2p2nbr/3ppppp/1p1n4/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Nf7-e5;631
6;0;117522;0;2prbkqA/2p3br/3ppppp/1p1nn3/4P3/PPP1PP2/RBNN1P2/aQKBRP2 Aa;Ah8-f7;2151
7;1;118355;0;2prbkq1/2p2Abr/3ppppp/1p1nn3/4P3/PPP1PP2/RBNN1P2/aQKBRP2 a;Nd5xe3;1603
8;0;115371;0;2prbkq1/2p2Abr/3ppppp/1p2n3/4P3/PPP1nP2/RBNN1P2/aQKBRP2 a;Re1-e2;1406
9;1;116752;0;2prbkq1/2p2Abr/3ppppp/1p2n3/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Ph6-g5;1410
10;0;113965;0;2prbkq1/2p2Abr/3pppp1/1p2n1p1/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Re2-e1;1892
11;1;115342;0;2prbkq1/2p2Abr/3pppp1/1p2n1p1/4P3/PPP1nP2/RBNN1P2/aQKBRP2 a;Rh7-h5;2052
12;0;112073;0;2prbkq1/2p2Ab1/3pppp1/1p2n1pr/4P3/PPP1nP2/RBNN1P2/aQKBRP2 a;Re1-e2;2403
13;1;113290;0;2prbkq1/2p2Ab1/3pppp1/1p2n1pr/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Bg7-h6;1497
14;0;109670;0;2prbkq1/2p2A2/3ppppb/1p2n1pr/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Af7-g7;1162
15;1;111793;0;2prbkq1/2p3A1/3ppppb/1p2n1pr/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Pe6-f5;1253
16;0;108508;0;2prbkq1/2p3A1/3p1ppb/1p2nppr/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Ag7-h8;1958
17;1;110540;0;2prbkqA/2p5/3p1ppb/1p2nppr/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Qg8-d5;304
18;0;106550;0;2prbk1A/2p5/3p1ppb/1p1qnppr/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Ah8-g8;429
19;1;110236;0;2prbkA1/2p5/3p1ppb/1p1qnppr/4P3/PPP1nP2/RBNNRP2/aQKB1P2 a;Qd5xd2;366
end; - ; - ; - ;2prbkA1/2p5/3p1ppb/1p2nppr/4P3/PPP1nP2/RBNqRP2/aQKB1P2 a; - ; - 

Player;Tournament-Seed;Name;TimeSettings;Points;Time left (ms)
0;3;BasicKI;120000,0;0;106121
1;0;BasicKI;120000,0;1;109870
